Subject,Target,Response,Condition
1,accessary,accessory,
1,ad,add,
1,ail,ale,
1,all,awl,
1,allowed,aloud,
1,bail,bale,
1,ball,bawl,
1,bare,bear,
1,beach,beech,
1,cell,sell,
1,censor,sensor,
1,cereal,serial,
1,chord,cord,
1,coarse,course,
1,council,counsel,
1,dear,deer,
1,desert,dessert,
1,dual,duel,
1,fair,fare,
1,feet,feat,
1,flea,flee,
1,flour,flower,
1,hoarse,horse,
1,knot,not,
1,leach,leech,
1,lessen,lesson,
1,made,maid,
1,mail,male,
1,main,mane,
1,mantel,mantel,
1,morning,mourning,
1,pedal,peddle,
1,peer,pier,
1,pi,pie,
1,read,red,
1,read,reed,
1,rose,rows,
1,rote,wrote,
1,sale,sail,
1,shear,sheer,
1,spade,spayed,
1,sweet,suite,
1,through,thorough,
1,troop,troupe,
1,vain,vein,
1,waive,wave,
1,war,wore,
1,weak,week,
1,weather,whether,
1,whet,wet,
1,wrap,rap,
1,wrung,rung,
